game,негативных_отзывов,Читы и нечестная игра,Античит и баны,"Оптимизация, FPS и вылеты","Серверы, пинг и десинхрон","Баланс оружия, брони и матчей",Монетизация и pay-to-win,"Прогрессия, гринд, вайпы и лут","Стрельба, движение и TTK",Баги и сломанные механики,"Сложность, порог входа и онбординг","Контент, эндгейм и однообразие","Интерфейс, UX и лаунчер","Звук, визуал и читаемость",Комьюнити и токсичность,"Поддержка, разработчики и коммуникация"
Escape from Tarkov,12868,15.2,5.9,21.3,17.7,5.3,7.6,15.5,6.6,18.9,8.0,10.1,17.9,6.7,3.6,17.7
Arena Breakout: Infinite,11360,27.9,10.8,7.5,13.2,19.8,13.4,21.1,15.2,12.2,6.9,20.1,14.2,6.5,13.2,14.5
ARC Raiders,51883,21.1,10.5,7.6,18.7,19.4,8.3,33.8,20.9,19.3,5.2,26.7,20.1,8.4,18.2,20.1
Delta Force,26711,35.4,12.6,13.6,12.1,15.1,6.8,12.8,16.7,13.8,3.9,21.3,15.4,5.6,7.9,12.3
